id,Amount,IP,IBAN,CC_ASN,IBAN_CC,Timestamp
1,62424,192.205.55.34,BE56 3327 4814 3080,,,1376261434
2,81830,193.56.95.39,ME90 2219 7390 6349 1829 58,,,1427875490
3,77199,186.163.222.248,AZ66 TRJX 3ECE 48QN IOO0 IS6V JGCY,,,1477585602
4,25566,117.77.199.22,ES09 9845 2044 9679 3273 4279,,,1472332939
5,24778,1.98.201.132,LU27 914T UVX3 KBX9 INIR,,,1363170838
6,73797,156.183.222.144,FR31 3508 5962 40NI RAB2 LGKG G20,,,1383513095
7,15524,239.186.94.241,IT45 T480 2921 0448 3IBW SBY7 ENB,,,1318431248
8,78439,157.80.99.1,PL32 8320 0868 0338 1900 6688 4481,,,1333296159
9,89812,232.202.2.66,VG90 PZUZ 0440 2207 2455 3548,,,1308758997
10,45252,61.221.134.58,FR42 5994 8490 799V XTFE PM13 O33,,,1376593613
11,62223,22.12.210.167,GR81 6893 836T IN4Y IQRA YCH4 CAX,,,1381543621
12,25548,144.143.120.2,ES47 8451 5570 3480 6995 5111,,,1370280602
13,32762,6.141.227.199,IL48 7368 6762 9500 8154 162,,,1331013593
14,45685,145.12.43.136,VG49 RGIZ 0450 2322 3080 3861,,,1434596288
15,55739,144.124.198.166,PT24 8843 2892 9429 0147 1522 4,,,1472198721
16,81454,183.141.140.149,FR17 1020 9938 83YM THVQ K7ZJ 131,,,1412650904
17,65614,239.220.184.237,GI75 STGD PQ00 WVKP XO9R OGT,,,1383187470
18,23567,247.140.187.1,HU40 1803 3448 2133 2889 5468 2872,,,1412417151
19,30090,242.195.21.166,SE71 4947 6067 0769 0215 1652,,,1343948347
20,58143,175.237.238.22,MT46 QHEG 0571 5SI5 POA0 DDLM 2QS6 BJK,,,1424856575
21,14458,215.186.20.213,BA02 1253 7299 8876 0040,,,1352532196
22,74179,84.225.148.209,AE59 8416 5102 4306 6334 939,,,1384283401
23,83734,172.6.246.150,FR74 0182 2551 44N4 AEI5 CX2N S92,,,1315959755
24,66651,200.110.17.236,LV04 EQXK N4TM AXDC IETX 9,,,1466608579
25,20812,157.199.232.56,GI78 UNXR WQQK 3ERI 18DH MQL,,,1323649403
26,24180,187.82.53.102,AE44 8722 3923 3742 5224 337,,,1452920007
27,24163,188.25.69.116,IL57 6997 7013 4684 9311 747,,,1479749868
28,6718,154.78.225.144,BH66 LEEC BVSA MZH2 VXIW 1M,,,1420681134
29,44769,10.248.13.173,KW25 JPVG PID2 G7QL BWEW VDSN YH0T GK,,,1461279435
30,48866,5.117.78.122,FR07 6221 9760 341G FU67 IUAV 235,,,1382707327
31,16636,246.117.66.11,VG18 KMSL 3396 8998 1319 5301,,,1481456742
32,72545,8.206.207.116,BH65 UNVR W9J5 HPRX DKTL 5G,,,1359363641
33,66472,1.228.28.50,LV62 KYZW GKMW VIPO MBSV A,,,1419534371
34,28877,134.211.94.8,SE82 2479 7533 3924 5391 6302,,,1466200581
35,62096,163.189.45.177,AL04 6547 2406 8OPX WNLA FBIT DSKM,,,1307024015
36,33963,152.167.69.239,CR04 9871 6413 9358 8840 5,,,1432326758
37,20991,231.218.148.220,FI06 0068 6264 9266 47,,,1388657453
38,89934,131.235.17.161,NO05 4837 3642 997,,,1392337359
39,13180,112.105.193.134,FR96 2518 9435 37VQ NIHW LX0T 111,,,1331067112
40,84678,49.169.227.34,GI33 ZCYF SBBA RJXT VINS ZEH,,,1458650514
41,74521,9.65.133.172,ES77 3787 1493 0322 5845 9562,,,1454074255
42,65507,103.130.40.196,KW48 ZLAA EQYW 8EIR FIO2 7EME U7CR RZ,,,1442998185
43,46191,114.96.88.98,HR33 4507 4528 8130 5657 5,,,1426796354
44,68126,16.29.130.182,SA17 32KA 1MVT 9XBE 9FKM IPVG,,,1413452557
45,14624,100.50.181.142,FR08 4918 1741 57OV RYLC 3180 S60,,,1367722952
46,65176,16.186.30.122,MD48 PNDZ ORVX APRE 1M4N UU3V,,,1306476225
47,23664,173.27.13.44,CZ06 9311 5746 3601 3956 5166,,,1311718420
48,6173,218.130.196.10,FR77 0319 6574 91NB P9QH UAA9 562,,,1335301398
49,8408,50.234.157.234,CZ24 7863 0616 6260 6891 4952,,,1441023292
50,65205,4.101.232.92,KW10 LKSJ NO3X 7ZY0 GATZ MHLL BX7A L6,,,1471488452
51,28949,247.65.235.115,SI04 6087 2533 2898 969,,,1321199085
52,76683,208.102.204.229,MK59 460X RA1S ISWN H47,,,1353823637
53,12259,28.129.236.85,IT96 M227 2413 8326 FENQ FVC2 JLV,,,1395732934
54,58889,67.26.153.193,LT91 0866 5828 2244 1048,,,1432948934
55,24018,94.204.232.230,EE50 0491 5729 9666 6866,,,1344922901
56,82038,177.243.155.225,LU80 105E SZIC QMTQ 4GNF,,,1491345277
57,32455,170.54.39.73,SK16 2322 8895 3389 4360 5585,,,1372361925
58,62572,130.203.162.35,DO38 DBXI 0420 9852 6312 0204 8126,,,1318156118
59,21137,9.247.119.74,CZ68 6959 2585 0274 1188 6743,,,1361211917
60,11119,72.253.227.255,BR11 7274 0365 6397 9468 3373 225O 9,,,1383273694
61,81623,70.230.36.45,GB97 ABCO 3077 5919 8129 59,,,1294819030
62,41884,214.131.242.84,IS41 2732 5551 2633 2761 8681 14,,,1362604866
63,84796,154.146.15.201,EE03 4890 7294 0358 5020,,,1368645468
64,49917,68.134.101.214,GB75 XMDF 9905 7990 4340 09,,,1361056430
65,29828,109.182.250.240,SM61 T030 7202 7333 3YN2 DWJF TAO,,,1479394782
66,61207,195.25.22.88,PL34 8838 1396 8602 1424 8964 5434,,,1457043365
67,69310,105.34.1.247,FR15 7156 0339 19DO NYHJ D9HE K96,,,1369311937
68,38773,241.187.17.10,SI93 7286 4890 2136 448,,,1368799604
69,67429,229.165.196.250,LB21 2395 MHNT 98WW 540N AQHT LYBY,,,1311748100
70,7228,35.253.199.151,SA17 625N GVTU TWHV LMAZ K7XS,,,1312948409
71,83402,140.53.2.218,HU46 6090 4237 0258 3327 6913 9269,,,1371824797
72,36800,106.222.119.126,LU73 050Q UZAG QMUT GL88,,,1449163321
73,41374,116.13.57.90,FO68 5929 7970 0692 23,,,1465079740
74,44277,220.62.42.73,GB58 EFOZ 7976 1658 6155 81,,,1380530207
75,86556,186.151.10.241,RS35 1194 1897 5056 8215 90,,,1436346547
76,32904,172.95.22.184,FR28 5353 3143 75NM HN6T MKAI 639,,,1400867540
77,60024,71.106.220.26,GR12 0589 688T XM9N IS5N WIHZ 7A2,,,1458344103
78,31550,59.143.193.255,DO24 ODG8 0710 7882 9475 4185 8734,,,1378456051
79,38605,87.32.75.156,BA36 0641 2776 5962 1831,,,1403380297
80,27721,0.181.95.248,GT46 E7J7 7YBO AQWA GZS3 OIL3 35QK,,,1473318785
81,16729,159.128.245.29,TN03 5341 0925 0902 3974 3280,,,1487800280
82,73514,228.151.110.74,FR22 1960 3320 85SD JJCP NX8N P62,,,1339300371
83,76758,70.208.115.211,IT44 N301 5180 177H LZQA 7J60 XVZ,,,1385531849
84,9559,228.177.30.233,HU10 7398 9064 7059 1838 7301 0707,,,1378575199
85,65086,183.18.175.224,MK65 603V TQRN OLBH M67,,,1366385380
86,71640,30.16.231.187,RO26 XOMH W7WS MUS1 AURK UPTL,,,1446446052
87,24043,62.167.170.27,FR08 3592 6700 023P 5RIP MXUF D46,,,1298291151
88,16028,136.184.105.130,CZ54 2340 8360 3535 7795 1313,,,1325827190
89,54031,150.118.49.0,AT62 5260 5442 8607 3061,,,1317284251
90,59829,111.220.153.131,MC13 5037 3159 240S LXAE M9BU J95,,,1460098271
91,76326,46.94.186.224,LB09 5001 GRF3 HASE ZKPH RZW1 DJID,,,1486035360
92,63500,27.221.119.123,HU90 9520 6969 4461 6472 5209 5257,,,1398127172
93,74341,245.141.56.13,MC24 3857 0509 38MA MZDS AEM3 A21,,,1339908373
94,22369,155.205.170.87,HU92 5483 1749 2495 1742 1421 1274,,,1373641322
95,8486,215.38.151.78,MD21 1SZ4 W7RU ZNUZ FZUT OBF2,,,1412126550
96,88318,79.118.11.68,MK69 250P 0J2V 8N81 N87,,,1410213502
97,17196,66.37.57.82,FR48 8496 0242 55ZE QTPQ M98I N54,,,1318505558
98,46655,72.241.183.116,BA18 4415 7048 0148 9502,,,1460140107
99,64836,194.133.240.148,FO42 6766 4883 2540 35,,,1385875177
100,10533,119.200.25.26,GI44 UUWX ATJW DAEC 6DID 02C,,,1485746158
101,82533,227.192.114.134,DK81 2613 4408 1167 27,,,1402560515
102,33574,232.87.245.150,LT32 7952 2962 7196 7272,,,1346857516
103,74056,104.221.22.147,SM80 M102 0282 4131 O19Q SDPJ UF0,,,1362261136
104,20592,71.172.26.33,AL04 3017 7926 KAAV SVCN P10Y H8ZA,,,1391394561
105,35345,229.184.224.146,BR69 2346 1751 4070 2360 0410 911W G,,,1454306519
106,72962,159.73.68.99,DE22 7807 4168 1599 7697 29,,,1389483405
