id,Amount,IP,CC_ASN,Phone operator,Phone number,Timestamp
1,64903,182.200.182.47,,Yodo,374-(644)378-4607,1433967933
2,70249,5.30.96.105,,Teklist,7-(549)190-9608,1340635468
3,56728,200.39.86.233,,Pixoboo,53-(912)420-3597,1492158314
4,32911,38.194.98.41,,Babbleset,86-(292)345-5414,1324967377
5,47074,18.96.6.235,,Ailane,55-(270)727-7505,1488192832
6,72161,74.233.122.79,,Flashpoint,359-(255)203-0243,1430849762
7,72921,138.82.133.49,,Voonix,86-(960)471-2229,1358133727
8,7199,233.80.160.32,,Bubbletube,86-(155)319-8183,1337903674
9,46837,51.202.148.144,,Zoonoodle,351-(337)289-4719,1322732730
10,21822,169.92.57.167,,Skilith,52-(455)518-3605,1390560458
11,5815,150.246.200.125,,Yoveo,92-(332)129-0931,1459338462
12,24534,128.196.44.124,,Tazz,86-(994)348-1067,1407570182
13,56959,102.115.234.81,,Kwimbee,81-(331)535-7362,1345941714
14,5671,45.131.107.56,,Realblab,380-(875)600-8955,1421800491
15,15077,97.247.9.122,,Miboo,46-(852)236-3902,1406552719
16,68156,22.166.0.72,,Innojam,62-(412)847-4388,1315849675
17,49950,230.221.225.59,,Quamba,358-(143)472-6547,1384115417
18,65731,113.6.72.250,,Tagtune,1-(317)661-4174,1377052499
19,59469,179.235.254.98,,Skinix,507-(833)378-4977,1370394533
20,75733,0.217.15.70,,Eamia,82-(354)769-7640,1306400611
21,36307,7.29.254.190,,Shuffledrive,502-(769)870-6513,1406514521
22,64635,229.224.195.240,,Wikizz,55-(759)667-6444,1364565624
23,40506,51.215.221.87,,Ainyx,1-(231)796-6046,1425211001
24,46535,89.222.184.79,,Meembee,86-(728)777-6838,1383631083
25,70473,247.218.221.6,,Tagcat,381-(818)836-5784,1402967186
26,70211,252.161.194.44,,Aibox,30-(209)840-8950,1421358845
27,67384,142.72.45.48,,Ntag,33-(326)276-8260,1438220889
28,19766,201.86.13.56,,Kwimbee,351-(354)748-2039,1457987875
29,87585,224.139.190.211,,Quinu,251-(154)153-7341,1361178102
30,85982,68.212.155.244,,Oodoo,86-(124)450-4009,1299394262
31,34054,113.187.78.86,,Topiczoom,47-(136)595-3141,1432673126
32,54415,122.253.163.11,,Oozz,976-(948)288-8133,1484753427
33,29794,106.165.150.89,,Zoomlounge,86-(416)993-1285,1369047806
34,76536,119.169.13.166,,Twitterwire,86-(902)985-7609,1463827924
35,43976,176.192.50.108,,JumpXS,86-(974)692-6945,1431966357
36,37505,237.213.197.54,,Zoovu,51-(289)329-5852,1436808390
37,12511,88.193.209.192,,Photobug,7-(679)272-6515,1425152876
38,58370,228.48.119.106,,Yakitri,1-(408)169-1765,1470080274
39,84832,251.134.169.181,,Ntags,52-(648)343-7109,1390668228
40,40147,37.7.137.39,,Chatterpoint,998-(345)492-4708,1310652678
41,20671,206.12.184.219,,Buzzdog,60-(863)827-8577,1336932155
42,11054,150.120.193.168,,Yodoo,86-(880)437-8563,1387438090
43,74860,100.123.9.33,,Mynte,86-(870)198-2106,1450378670
44,53751,6.47.8.11,,Gigaclub,1-(801)467-5603,1310755024
45,73976,150.149.234.22,,Twitterbridge,62-(176)519-4748,1341963296
46,20099,80.148.123.55,,Zooxo,55-(631)279-5883,1444005635
47,74683,86.116.206.26,,Zoombox,51-(106)479-4225,1311229865
48,38857,23.212.76.194,,Babbleblab,62-(875)878-7642,1435507049
49,8751,112.236.87.175,,Meejo,63-(374)837-8263,1299365875
50,24800,142.205.86.69,,Izio,1-(882)731-6331,1360880217
51,44773,71.27.188.223,,Voolia,86-(900)819-9220,1392504030
52,71195,48.30.130.153,,Abata,374-(808)554-7642,1475843726
53,71075,173.47.241.173,,Flashset,86-(311)879-0232,1326435099
54,44342,36.198.103.11,,Eadel,1-(484)756-6481,1383360801
55,57508,190.187.233.46,,Brightdog,86-(781)541-5356,1449908803
56,83114,160.246.62.52,,Quimm,351-(786)430-9738,1346910737
57,68118,4.103.105.131,,Oozz,1-(913)436-7172,1468473604
58,82143,84.186.38.10,,Myworks,7-(948)300-5958,1369186363
59,61762,42.121.239.19,,Linklinks,51-(268)564-0673,1467988621
60,53110,177.32.104.209,,Dazzlesphere,52-(943)749-6532,1381062003
61,86955,177.100.88.139,,Wordtune,86-(924)820-9987,1372310264
62,49143,162.9.185.47,,Realbuzz,66-(826)991-3718,1307764046
63,28353,132.237.26.232,,Trilia,48-(868)356-3091,1472678652
64,65878,61.28.159.19,,Zoomcast,81-(769)561-3921,1484706023
65,62119,39.104.226.156,,Cogidoo,86-(906)125-3994,1341147685
66,70101,163.126.83.40,,Quimba,373-(859)355-3600,1369283521
67,17748,62.215.24.212,,Minyx,57-(984)673-3455,1306936055
68,57664,245.149.173.74,,Meembee,1-(497)472-4107,1446657773
69,83202,240.208.21.71,,Thoughtblab,48-(822)219-9501,1425716652
70,86585,146.102.206.234,,Wordpedia,62-(623)903-5833,1479364397
71,80143,80.219.98.33,,Jabbercube,48-(945)365-1144,1310482476
72,64221,190.147.60.95,,Jaloo,86-(256)372-3375,1387903652
73,69645,126.103.92.75,,Linkbuzz,1-(707)862-7402,1476961228
74,76119,197.95.103.29,,Photobug,234-(374)218-3773,1388693597
75,33142,153.225.4.184,,Shufflester,63-(946)374-1187,1385792394
76,22678,193.4.113.73,,Realpoint,375-(955)400-6645,1465291713
77,61654,225.115.76.169,,Eare,375-(693)764-1854,1387478300
78,73704,106.236.70.70,,Avaveo,504-(563)772-8793,1388973432
79,48169,233.185.91.146,,Jaxnation,33-(447)697-1634,1308952556
80,47479,22.158.76.14,,Brightdog,62-(652)868-7799,1437245669
81,8865,240.67.68.242,,JumpXS,86-(257)165-7108,1442447213
82,86836,168.241.123.225,,Photobean,86-(853)535-6323,1388059383
83,33822,160.175.14.54,,Tazz,55-(401)705-8782,1471691652
84,51603,94.160.120.82,,Realblab,995-(999)163-8043,1403667522
85,83826,37.117.94.2,,Twitterbridge,62-(682)939-8062,1334126044
86,71965,226.52.90.52,,Brainsphere,48-(929)623-8679,1465544227
87,47631,198.93.71.221,,Demizz,51-(754)850-6766,1412921656
88,17305,134.130.182.1,,Meevee,62-(359)326-5189,1474758369
89,8758,163.201.186.56,,Skimia,385-(730)168-0482,1297677962
90,16082,1.22.253.235,,Brainverse,55-(206)984-9837,1324651278
91,76878,230.199.201.82,,Demizz,237-(321)579-1872,1481474620
92,60191,165.96.44.189,,Trilith,86-(962)604-6967,1476233795
93,9216,82.217.28.183,,Skidoo,593-(698)605-7076,1492014283
94,87359,173.211.114.122,,Oyope,353-(719)442-8965,1424662095
95,86756,251.217.73.7,,Jabbercube,51-(784)804-7184,1392740726
96,64868,200.103.101.253,,Buzzbean,62-(722)305-0346,1396750802
97,51754,15.147.217.110,,Thoughtworks,46-(333)278-7928,1402132473
98,18094,7.221.158.58,,Gevee,420-(310)286-0933,1465931481
99,87186,28.218.221.179,,Babbleopia,86-(916)607-2939,1362893015
100,84596,9.196.245.125,,Tagcat,225-(435)195-2904,1449136020
101,40612,222.252.133.23,,Mynte,86-(535)158-4748,1429223293
102,31113,131.31.171.97,,Wikibox,66-(275)715-8393,1391090785
103,45573,94.98.3.4,,Quire,86-(870)537-2014,1465738469
104,29648,130.191.201.144,,Jabbersphere,57-(716)952-6256,1480285625
105,84870,50.239.147.111,,Fivespan,86-(427)965-0238,1438196539
106,46285,23.194.30.148,,Jabbertype,255-(104)974-0321,1401321059
107,78898,196.247.60.139,,Babbleblab,86-(454)167-8494,1402294211
108,69324,180.152.70.4,,Talane,55-(257)103-0812,1411263383
109,8820,106.120.219.231,,Kazio,62-(528)394-0049,1415656625
