id,Amount,IP,CC_ASN,Timestamp,Card type,Card number
1,71130,19.34.26.90,,1429973649,jcb,3536700324332140
2,34107,176.81.206.0,,1420988976,visa-electron,4917478980133100
3,38289,138.234.57.24,,1359129909,jcb,3549645382255470
4,25430,52.80.160.33,,1463269908,jcb,3528547539224310
5,60900,12.137.253.79,,1387632509,jcb,3579204166472460
6,89545,236.37.251.78,,1375250077,switch,6333778598201150
7,58526,208.201.59.23,,1313597397,jcb,3566556665433810
8,61398,174.168.117.109,,1453923646,jcb,3554131618672170
9,53671,14.68.207.109,,1411495273,visa,4041595729226810
10,18607,74.246.88.115,,1435463430,jcb,3536511475482000
11,21186,174.161.91.249,,1307764703,jcb,3586123341707380
12,44980,168.54.48.243,,1455961450,jcb,3560472424309170
13,50169,251.22.6.29,,1336274734,instapayment,6389190661186440
14,34110,19.21.88.174,,1316898897,bankcard,5602235013092670
15,75441,165.137.163.4,,1399574713,visa-electron,4026028199315230
16,39997,254.211.134.160,,1301197763,visa-electron,4913917201373570
17,83112,157.98.15.242,,1370518458,jcb,3585119579247340
18,33176,188.162.225.56,,1480371923,mastercard,5100144502178290
19,74724,117.122.35.11,,1391606532,maestro,6045446720942430
20,33297,128.87.250.77,,1400257497,jcb,3537255051734990
21,58172,131.125.106.187,,1314010519,diners-club-enroute,201621781979265
22,56302,156.111.42.154,,1406035504,switch,6331103012521390
23,59501,207.35.247.197,,1386711697,visa-electron,4844738409258220
24,19491,81.181.144.83,,1410120381,jcb,3581510164170550
25,67447,163.117.115.149,,1382421058,china-unionpay,5602254411610040000
26,38304,0.117.45.25,,1360300099,diners-club-carte-blanche,30475098452798
27,11289,212.181.59.42,,1336132312,china-unionpay,560224019020122000
28,66772,82.179.156.26,,1355411978,jcb,3580592627409590
29,67487,146.247.111.202,,1445565397,jcb,3552120078836210
30,27036,83.71.21.172,,1454435945,china-unionpay,56022129068255100
31,6001,114.76.209.43,,1451810123,jcb,3534046635414390
32,33193,240.151.134.126,,1410978922,jcb,3541779547819570
33,12066,19.22.84.199,,1425646757,mastercard,5100146124406780
34,82194,109.54.189.161,,1346845066,solo,6767664540474740
35,24860,52.173.49.46,,1405211071,jcb,3579572576434160
